"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","Policy is accepted Usage Purpose","","Mon Sep 01 03:49:46 GMT 2025","passed","Mon Sep 01 03:49:46 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","46","Policy is accepted Jurisdiction Location Reference","","Mon Sep 01 03:49:45 GMT 2025","passed","Mon Sep 01 03:49:45 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","2","verifyCorrectParticipantAgentId_forDsp2025(DataspaceProfileContextRegistry)","","Mon Sep 01 03:51:17 GMT 2025","passed","Mon Sep 01 03:51:17 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","org.eclipse.tractusx.edc.tests.transfer.IdentityExtractionTest","verifyCorrectParticipantAgentId_forDsp2025"
"","80","Policy is accepted Managed Legal Entity Region","","Mon Sep 01 03:49:45 GMT 2025","passed","Mon Sep 01 03:49:45 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","168","Verify the refresh endpoint is not called when token not yet expired","","Mon Sep 01 03:50:38 GMT 2025","passed","Mon Sep 01 03:50:38 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_notExpired_shouldNotCallEndpoint"
"","7238","Verify all existing TPs related to an agreement are terminated upon its retirement","","Mon Sep 01 03:49:51 GMT 2025","passed","Mon Sep 01 03:49:59 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.RetireAgreementTest","org.eclipse.tractusx.edc.tests.transfer.RetireAgreementTest","retireAgreement_shouldCloseTransferProcesses"
"","157","refreshEdr_whenNotAuthorized()","","Mon Sep 01 03:50:45 GMT 2025","passed","Mon Sep 01 03:50:45 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr_whenNotAuthorized"
"","1303","The authentication token has a invalid id","","Mon Sep 01 03:49:21 GMT 2025","passed","Mon Sep 01 03:49:22 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidTokenId"
"","3995","transferData_failing_withProxyOriginalResponse()","","Mon Sep 01 03:51:45 GMT 2025","passed","Mon Sep 01 03:51:49 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_failing_withProxyOriginalResponse"
"","51","4.3.3 Verify invalid access token - auth token bound to a different iss/sub","","Mon Sep 01 03:49:28 GMT 2025","passed","Mon Sep 01 03:49:28 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenInvalidIssuerSub"
"","90","X.X Verifier should reject Presentations where at least 1 credential schema is violated","","Mon Sep 01 03:49:28 GMT 2025","passed","Mon Sep 01 03:49:28 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_x_x_presentationResponse_invalidCredentialSchema"
